阿党比周	a'dang'bi'zhou	相互勾结，相互偏袒，结党营私。
阿平绝倒	a'ping'jue'dao	据《晋书·卫玠传》及《王澄传》载，玠好言玄理。琅玡王澄字平子，兄昵称之曰：“阿平”。有高名，少所推许，每闻玠言，辄叹息绝倒。故时为之语曰：“卫玠谈道，平子绝倒。”后因以“阿平绝倒”谓对对方的言论极为佩服。亦用为讥讽言论极为乖谬，常贻笑大方。
阿权膴仕	a'quan'hu'shi	阿附权势，以求得高位厚禄。
阿时趋俗	a'shi'qu'su	迎合世俗和时尚。
阿世媚俗	a'shi'mei'su	曲意迎合当时社会的陈规陋俗。
阿世取容	a'shi'qu'rong	迎合世俗，取悦于人。
阿意取容	a'yi'qu'rong	曲从其意，以取悦于人。
阿谀取容	a'yu'qu'rong	曲意奉承，取悦于人。
哀兵必胜	ai'bing'bi'sheng	《老子》：“故抗兵相加，哀者胜矣。”王弼注：“抗，举也。加，当也。哀者必相惜，而不趣利避害，故必胜。”任继愈注：“哀，沉痛，悲愤。”后遂谓因受压而悲愤的一方，定能克敌制胜。
哀而不伤	ai'er'bu'shang	谓悲伤而不过分。儒家诗教的重要命题。指诗歌、音乐不失中和之美。《论语·八佾》：“《关雎》乐而不淫，哀而不伤。”何晏集解：“孔曰：‘哀不至伤，言其和也。’”硃熹集注：“伤者，哀之过而害於和者也。”鲁迅《汉文学史纲要》第二篇：“哀而不伤，乐而不淫，虽诗歌，亦教训也。”亦谓貌似悲哀而实不伤心。
哀感顽艳	ai'gan'wan'yan	《文选·繁钦〈与魏文帝笺〉》：“咏北狄之遐征，奏胡马之长思，凄入肝脾，哀感顽艳。”吕延济注：“顽钝艳美者皆感之。”后遂以“哀感顽艳”形容诗文的词旨凄恻动人。
哀鸿遍野	ai'hong'bian'ye	比喻到处都是流离失所的灾民。
哀毁骨立	ai'hui'gu'li	亦作“哀毁瘠立”。形容因居亲丧悲损其身，瘦瘠如骨骸支立。语本《后汉书·韦彪传》：“父母卒，哀毁三年……服竟，羸瘠骨立异形。”
哀毁瘠立	ai'hui'ji'li	见“哀毁骨立”。
哀丝豪竹	ai'si'hao'zhu	指悲壮的乐声。丝，指弦乐器；竹，指管乐器。
唉声叹气	ai'sheng'tan'qi	见“唉声叹气”。
唉声叹气	ai'sheng'tan'qi	亦作“唉声叹气”。因伤感、烦闷或痛苦而发出叹息声。
挨风缉缝	ai'feng'ji'feng	谓多方钻营。
挨肩并足	ai'jian'bing'zu	形容人群拥挤。
挨肩擦膀	ai'jian'ca'bang	谓身体相贴近。
挨肩擦背	ai'jian'ca'bei	形容人群拥挤。
挨肩叠背	ai'jian'die'bei	形容人群拥挤。
挨三顶五	ai'san'ding'wu	又作：三五成群。
挨山塞海	ai'shan'sai'hai	形容人多拥挤。
捱风缉缝	ai'feng'ji'feng	多方钻营。
捱三顶四	ai'san'ding'si	形容人群拥挤，接连不断。
捱三顶五	ai'san'ding'wu	见“捱三顶四”。
嗳声叹气	ai'sheng'tan'qi	因伤感、烦闷或痛苦而发出叹息的声音。
矮人观场	ai'ren'guan'chang	同“矮子看戏”。
矮人看场	ai'ren'kan'chang	同“矮子看戏”。
矮人看戏	ai'ren'kan'xi	见“矮子看戏”。
矮子观场	ai'zi'guan'chang	同“矮子看戏”。
矮子看戏	ai'zi'kan'xi	喻己无所见而随声附和。
爱不忍释	ai'bu'ren'shi	喜欢得舍不得放下。极言喜爱。
爱不释手	ai'bu'shi'shou	见“爱不忍释”。
爱才如命	ai'cai'ru'ming	见“爱才若渴”。
爱才若渴	ai'cai'ruo'ke	爱慕贤才就像口渴思饮一样。形容十分爱重人才。
爱财如命	ai'cai'ru'ming	吝惜钱财就像吝惜自己的生命一样。喻过分贪财，非常吝啬。
爱礼存羊	ai'li'cun'yang	《论语·八佾》：“子贡欲去告朔之饩羊，子曰：‘赐也，尔爱其羊，我爱其礼。’”后以“爱礼存羊”比喻为维护根本而保留有关仪节。
爱莫能助	ai'mo'neng'zhu	虽然同情，却限于条件无从帮助。语本《诗·大雅·烝民》：“我仪图之，维仲山甫举之，爱莫助之。”郑玄笺：“爱，惜也。仲山甫独能举此德而行之，惜乎莫能助之者。”
爱人以德	ai'ren'yi'de	按照道德标准去爱护和帮助他人。
爱手反裘	ai'shou'fan'qiu	比喻愚昧不辨本末。语本汉刘向《新序·杂事二》：“魏文侯出游，见路人反裘而负刍。文侯曰：‘胡为反裘而负刍？’对曰：‘臣爱其毛。’文侯曰：‘若不知其里尽而毛无所恃耶？’”
爱素好古	ai'su'hao'gu	《老子》：“见素抱朴，少私寡欲。”《论语·述而》：“子曰：述而不作，信而好古，窃比於我老彭。”后以“爱素好古”谓爱好朴质，不趋时尚。
爱屋及乌	ai'wu'ji'wu	谓爱其人而推爱及与之有关的人或物。语本《尚书大传》卷三：“爱人者，兼其屋上之乌。”
爱惜羽毛	ai'xi'yu'mao	汉刘向《说苑·杂言》：“夫君子爱口，孔雀爱羽，虎豹爱爪。”后以“爱惜羽毛”喻珍惜自己的名声。
爱憎分明	ai'zeng'fen'ming	爱什么，恨什么，态度很鲜明。
碍手碍脚	ai'shou'ai'jiao	妨碍别人做事，使人感到不方便。
碍足碍手	ai'zu'ai'shou	同“碍手碍脚”。
安邦定国	an'bang'ding'guo	使国家平安稳定。
安不忘危	an'bu'wang'wei	处在平安的环境，要经常想到可能会出现的困难危险。
安步当车	an'bu'dang'che	缓缓步行，当作坐车。语本《战国策·齐策四》：“晚食以当肉，安步以当车。”
安常習故	an'chang'xi'gu	谓习惯于成规。
安堵乐业	an'du'le'ye	同“安居乐业”。
安分守己	an'fen'shou'ji	安守本分，规矩老实。
安份守己	an'fen'shou'ji	见“安分守己”。
安富尊荣	an'fu'zun'rong	安逸富足，尊贵荣耀。
安故重迁	an'gu'zhong'qian	安于旧俗，不轻易改变。
安家乐业	an'jia'le'ye	犹安居乐业。
安家立业	an'jia'li'ye	成立家庭，建立事业。
安家落户	an'jia'luo'hu	①把家庭安置在某地，长期住下去。②比喻某种生物被引进到新地方后，同原产地一样地生长繁殖。
安居乐业	an'ju'le'ye	安定地生活，愉快地从事其职业。
安老怀少	an'lao'huai'shao	尊重老人，使其安逸；关怀年轻人，使其信从。语本《论语·公冶长》：“子路曰：‘原闻子之志。’子曰：‘老者安之，朋友信之，少者怀之。’”邢昺疏：“此夫子之志也。怀，归也，言己原老者安，己事之以孝敬也……少者归，己施之以恩惠也。”
安 乐 窝	an' 'le' 'wo		宋邵雍自号安乐先生，隐居苏门山，名其居为“安乐窝”。后迁洛阳天津桥南仍用此名。曾作《无名公传》自况：“所寝之室谓之安乐窝，不求过美，惟求冬暖夏凉。”又作《安乐窝中四长吟》：“安乐窝中快活人，闲来四物幸相亲：一编诗逸收花月，一部书严惊鬼神，一炷香清冲宇泰，一樽酒美湛天真。”后泛指安静舒适的住处。
安民告示	an'min'gao'shi	安定民心的告示。
安内攘外	an'nei'rang'wai	汉张仲景《伤寒论·太阳病上》：“甘草甘平，有安内攘外之能。”原就药的疗效而言。后多指安定内部，排除外患。
